,d1,d1s,d2,d2s,f1,f1s,f2,f2s,f3,f3s,t1,t1s,r1,r1s,cd1,cd1s,cd2,cd2s,cf1,cf1s,cf2,cf2s,cf3,cf3s,ct1,ct1s,cr1,cr1s
1236,13,1,4,2,5,3,11,2,5,4,13,4,9,3,13,1,4,2,5,3,11,2,5,4,13,4,9,3
1237,9,3,10,4,8,4,10,3,12,3,5,3,8,3,9,3,10,4,8,4,10,3,12,3,5,3,8,3
1238,13,1,13,2,11,3,4,4,8,1,5,3,11,1,13,1,13,2,11,3,4,4,8,1,5,3,11,1
1239,10,4,5,3,4,1,5,1,1,4,7,4,13,3,10,4,5,3,4,1,5,1,1,4,7,4,13,3
1240,10,4,9,2,6,4,6,2,7,2,5,1,1,3,10,4,9,2,6,4,6,2,7,2,5,1,1,3
1241,4,2,6,2,9,4,1,1,10,1,8,2,1,4,4,2,6,2,9,4,1,1,10,1,8,2,1,4
1242,1,1,12,3,4,3,9,1,11,3,12,1,1,3,1,1,12,3,4,3,9,1,11,3,12,1,1,3
1243,2,3,7,4,10,2,8,2,10,3,4,1,13,2,2,3,7,4,10,2,8,2,10,3,4,1,13,2
1244,4,2,10,3,3,1,2,4,9,3,2,3,3,4,4,2,10,3,3,1,2,4,9,3,2,3,3,4
1245,2,2,10,4,8,1,7,4,6,4,3,3,12,1,2,2,10,4,8,1,7,4,6,4,3,3,12,1
1246,7,4,10,2,6,2,12,3,8,2,5,2,4,3,7,4,10,2,6,2,12,3,8,2,5,2,4,3
1247,2,1,7,3,2,4,4,2,12,4,6,1,7,2,2,1,7,3,2,4,4,2,12,4,6,1,7,2
1248,10,2,8,1,8,4,11,1,12,1,4,3,6,1,10,2,8,1,8,4,11,1,12,1,4,3,6,1
1249,8,2,4,3,6,2,4,2,7,1,2,3,5,4,8,2,4,3,6,2,4,2,7,1,2,3,5,4
1250,3,4,3,3,1,2,12,4,9,4,12,3,9,2,3,4,3,3,1,2,12,4,9,4,12,3,9,2
1251,5,4,9,3,11,1,8,3,1,3,5,2,7,3,5,4,9,3,11,1,8,3,1,3,5,2,7,3
1252,1,2,12,2,4,4,4,3,11,2,5,2,1,4,1,2,12,2,4,4,4,3,11,2,5,2,1,4
1253,5,1,8,4,8,2,2,1,2,1,1,1,8,1,5,1,8,4,8,2,2,1,2,1,1,1,8,1
1254,13,1,11,3,13,4,8,2,9,4,13,2,8,3,13,1,11,3,13,4,8,2,9,4,13,2,8,3
1255,11,4,6,1,5,4,8,3,9,1,12,2,10,3,11,4,6,1,5,4,8,3,9,1,12,2,10,3
1256,13,4,3,3,3,3,13,3,3,2,10,4,8,3,13,4,3,3,3,3,13,3,3,2,10,4,8,3
1257,4,3,9,1,7,2,10,3,11,3,4,1,12,2,4,3,9,1,7,2,10,3,11,3,4,1,12,2
1258,8,3,11,3,12,4,2,3,8,4,13,1,7,4,8,3,11,3,12,4,2,3,8,4,13,1,7,4
1259,7,4,6,2,8,2,11,3,12,1,12,2,6,1,7,4,6,2,8,2,11,3,12,1,12,2,6,1
1260,12,4,1,2,8,1,5,3,4,1,4,4,7,2,12,4,1,2,8,1,5,3,4,1,4,4,7,2
1261,2,3,11,2,1,2,9,3,13,2,2,4,1,1,2,3,11,2,1,2,9,3,13,2,2,4,1,1
1262,6,2,13,2,8,3,12,4,12,2,4,1,5,2,6,2,13,2,8,3,12,4,12,2,4,1,5,2
1263,5,3,6,1,8,4,5,2,8,3,1,1,7,2,5,3,6,1,8,4,5,2,8,3,1,1,7,2
1264,13,2,5,1,3,1,12,1,1,2,1,1,4,3,13,2,5,1,3,1,12,1,1,2,1,1,4,3
1265,13,3,2,3,8,2,9,2,2,3,10,3,2,2,13,3,2,3,8,2,9,2,2,3,10,3,2,2
1266,1,3,10,3,2,1,11,4,5,1,4,3,2,3,1,3,10,3,2,1,11,4,5,1,4,3,2,3
1267,6,3,8,4,1,1,4,4,6,3,1,2,8,1,6,3,8,4,1,1,4,4,6,3,1,2,8,1
1268,4,4,7,4,10,4,6,3,11,3,11,4,9,1,4,4,7,4,10,4,6,3,11,3,11,4,9,1
1269,4,4,7,3,3,3,13,4,10,2,1,3,9,2,4,4,7,3,3,3,13,4,10,2,1,3,9,2
1270,12,3,10,3,12,1,2,1,8,2,2,3,10,1,12,3,10,3,12,1,2,1,8,2,2,3,10,1
1271,5,1,13,4,9,3,3,3,12,2,5,3,2,2,5,1,13,4,9,3,3,3,12,2,5,3,2,2
1272,9,1,13,1,8,4,2,3,11,2,13,3,11,1,9,1,13,1,8,4,2,3,11,2,13,3,11,1
1273,11,4,6,2,7,1,7,3,3,3,4,4,10,1,11,4,6,2,7,1,7,3,3,3,4,4,10,1
1274,5,4,4,1,1,3,8,3,2,4,6,4,5,1,5,4,4,1,1,3,8,3,2,4,6,4,5,1
1275,7,2,12,4,1,4,10,4,12,4,9,4,9,1,7,2,12,4,1,4,10,4,12,4,9,4,9,1
1276,6,3,9,1,12,3,13,3,6,3,3,2,1,1,6,3,9,1,12,3,13,3,6,3,3,2,1,1
1277,13,4,9,1,1,3,3,4,10,3,4,2,13,3,13,4,9,1,1,3,3,4,10,3,4,2,13,3
1278,6,1,6,3,10,4,7,1,8,4,10,4,1,3,6,1,6,3,10,4,7,1,8,4,10,4,1,3
1279,4,2,7,1,11,4,9,1,11,4,13,3,12,2,4,2,7,1,11,4,9,1,11,4,13,3,12,2
1280,2,4,11,4,4,1,1,3,9,3,2,3,13,3,2,4,11,4,4,1,1,3,9,3,2,3,13,3
1281,9,2,5,1,8,3,1,1,11,1,7,2,12,1,9,2,5,1,8,3,1,1,11,1,7,2,12,1
1282,4,1,9,3,6,1,6,4,4,4,8,2,11,3,4,1,9,3,6,1,6,4,4,4,8,2,11,3
1283,3,2,11,3,6,1,13,4,5,1,9,1,5,3,3,2,11,3,6,1,13,4,5,1,9,1,5,3
1284,5,3,3,1,8,3,12,2,13,2,13,2,3,2,5,3,3,1,8,3,12,2,13,2,13,2,3,2
1285,8,3,11,2,6,2,4,3,3,1,2,3,9,3,8,3,11,2,6,2,4,3,3,1,2,3,9,3
1286,13,4,11,4,1,2,4,3,6,1,11,3,6,4,13,4,11,4,1,2,4,3,6,1,11,3,6,4
1287,6,3,5,1,9,1,1,4,13,3,2,3,9,2,6,3,5,1,9,1,1,4,13,3,2,3,9,2
1288,11,2,13,1,7,2,13,3,10,1,5,1,6,3,11,2,13,1,7,2,13,3,10,1,5,1,6,3
1289,6,2,13,1,4,1,13,1,12,2,10,3,6,2,6,2,13,1,4,1,13,1,12,2,10,3,6,2
1290,5,2,3,4,2,3,12,3,1,2,4,4,12,3,5,2,3,4,2,3,12,3,1,2,4,4,12,3
1291,3,4,1,4,8,3,10,4,3,1,11,1,2,1,3,4,1,4,8,3,10,4,3,1,11,1,2,1
1292,1,1,9,1,1,4,11,2,5,3,11,3,1,1,1,1,9,1,1,4,11,2,5,3,11,3,1,1
1293,9,2,11,1,9,2,12,4,13,2,7,4,6,4,9,2,11,1,9,2,12,4,13,2,7,4,6,4
1294,5,3,8,3,7,4,7,1,12,2,3,1,5,1,5,3,8,3,7,4,7,1,12,2,3,1,5,1
1295,7,4,2,1,2,3,7,3,8,4,1,4,13,1,7,4,2,1,2,3,7,3,8,4,1,4,13,1
1296,5,1,4,1,13,3,3,1,3,4,7,2,8,3,5,1,4,1,13,3,3,1,3,4,7,2,8,3
1297,13,4,6,2,9,2,8,1,12,3,5,1,12,4,13,4,6,2,9,2,8,1,12,3,5,1,12,4
1298,7,3,1,1,5,1,12,3,6,3,12,4,10,3,7,3,1,1,5,1,12,3,6,3,12,4,10,3
1299,13,2,7,3,6,4,1,1,9,2,13,2,9,1,13,2,7,3,6,4,1,1,9,2,13,2,9,1
1300,4,4,6,3,13,3,3,4,8,1,3,4,11,3,4,4,6,3,13,3,3,4,8,1,3,4,11,3
1301,7,2,10,1,1,4,5,4,12,1,6,3,13,3,7,2,10,1,1,4,5,4,12,1,6,3,13,3
1302,3,1,13,2,5,1,2,3,10,4,10,4,4,2,3,1,13,2,5,1,2,3,10,4,10,4,4,2
1303,11,3,1,3,9,2,10,4,6,3,13,3,1,4,11,3,1,3,9,2,10,4,6,3,13,3,1,4
1304,10,2,3,3,6,4,5,3,5,2,1,2,9,3,10,2,3,3,6,4,5,3,5,2,1,2,9,3
1305,9,1,10,2,9,4,1,1,11,3,6,4,8,2,9,1,10,2,9,4,1,1,11,3,6,4,8,2
1306,6,4,4,4,2,4,12,3,8,3,12,3,12,1,6,4,4,4,2,4,12,3,8,3,12,3,12,1
1307,12,4,1,3,3,2,7,1,2,4,13,2,8,4,12,4,1,3,3,2,7,1,2,4,13,2,8,4
1308,11,2,8,4,3,1,1,4,4,4,10,4,6,1,11,2,8,4,3,1,1,4,4,4,10,4,6,1
1309,6,1,4,2,2,4,3,3,12,1,7,1,3,2,6,1,4,2,2,4,3,3,12,1,7,1,3,2
1310,11,1,11,2,11,4,9,3,4,3,3,1,1,3,11,1,11,2,11,4,9,3,4,3,3,1,1,3
1311,12,2,8,1,10,1,3,1,12,4,2,3,5,3,12,2,8,1,10,1,3,1,12,4,2,3,5,3
1312,11,3,10,4,11,4,1,2,8,4,8,3,7,2,11,3,10,4,11,4,1,2,8,4,8,3,7,2
1313,5,4,12,1,1,2,6,3,2,4,3,1,2,4,5,4,12,1,1,2,6,3,2,4,3,1,2,4
1314,2,1,5,4,7,3,7,4,9,1,7,3,2,2,2,1,5,4,7,3,7,4,9,1,7,3,2,2
1315,3,3,13,4,10,4,7,1,9,2,10,3,13,3,3,3,13,4,10,4,7,1,9,2,10,3,13,3
1316,3,2,4,3,10,4,12,3,1,2,6,3,10,3,3,2,4,3,10,4,12,3,1,2,6,3,10,3
1317,4,1,11,2,1,2,7,3,12,1,8,3,11,2,4,1,11,2,1,2,7,3,12,1,8,3,11,2
1318,1,4,9,2,1,3,10,1,7,2,7,3,10,1,1,4,9,2,1,3,10,1,7,2,7,3,10,1
1319,6,1,12,3,7,4,7,1,5,3,6,1,3,3,6,1,12,3,7,4,7,1,5,3,6,1,3,3
1320,2,2,4,4,6,2,4,1,10,4,12,1,1,2,2,2,4,4,6,2,4,1,10,4,12,1,1,2
1321,1,3,6,1,9,3,5,3,2,4,3,2,7,2,1,3,6,1,9,3,5,3,2,4,3,2,7,2
1322,1,4,6,3,7,3,11,2,6,3,10,3,6,1,1,4,6,3,7,3,11,2,6,3,10,3,6,1
1323,9,1,8,1,6,4,13,3,1,3,4,2,8,2,9,1,8,1,6,4,13,3,1,3,4,2,8,2
1324,10,1,6,1,2,1,2,1,4,3,5,1,1,4,10,1,6,1,2,1,2,1,4,3,5,1,1,4
1325,8,3,8,4,13,4,12,3,4,2,2,4,1,4,8,3,8,4,13,4,12,3,4,2,2,4,1,4
1326,4,2,8,2,3,3,11,4,13,3,4,1,9,4,4,2,8,2,3,3,11,4,13,3,4,1,9,4
1327,6,2,10,3,11,2,3,1,5,2,1,3,11,2,6,2,10,3,11,2,3,1,5,2,1,3,11,2
1328,2,4,2,4,1,2,8,3,10,4,7,1,8,4,2,4,2,4,1,2,8,3,10,4,7,1,8,4
1329,3,1,8,2,6,3,11,1,5,1,6,3,12,2,3,1,8,2,6,3,11,1,5,1,6,3,12,2
1330,11,1,10,3,3,1,10,2,7,4,7,3,2,4,11,1,10,3,3,1,10,2,7,4,7,3,2,4
1331,1,4,13,4,3,4,11,3,13,2,2,1,10,4,1,4,13,4,3,4,11,3,13,2,2,1,10,4
1332,7,3,8,4,4,4,3,1,10,4,8,1,2,1,7,3,8,4,4,4,3,1,10,4,8,1,2,1
1333,2,2,5,3,9,4,5,4,9,3,8,4,9,3,2,2,5,3,9,4,5,4,9,3,8,4,9,3
1334,6,1,12,2,8,1,10,2,8,2,12,2,1,1,6,1,12,2,8,1,10,2,8,2,12,2,1,1
1335,4,2,5,1,12,2,6,4,7,1,4,1,12,1,4,2,5,1,12,2,6,4,7,1,4,1,12,1
1336,10,2,3,2,5,2,1,1,13,3,2,3,3,2,10,2,3,2,5,2,1,1,13,3,2,3,3,2
1337,13,1,2,4,7,2,4,1,4,3,1,3,3,3,13,1,2,4,7,2,4,1,4,3,1,3,3,3
1338,9,2,5,1,10,4,12,1,3,2,9,2,5,4,9,2,5,1,10,4,12,1,3,2,9,2,5,4
1339,9,4,10,3,9,3,11,4,8,3,13,1,10,4,9,4,10,3,9,3,11,4,8,3,13,1,10,4
1340,11,2,2,2,10,3,8,2,1,3,5,1,5,1,11,2,2,2,10,3,8,2,1,3,5,1,5,1
1341,4,4,7,2,8,1,13,4,1,4,5,4,9,3,4,4,7,2,8,1,13,4,1,4,5,4,9,3
1342,4,1,6,1,10,2,2,1,6,2,6,1,2,2,4,1,6,1,10,2,2,1,6,2,6,1,2,2
1343,4,2,9,3,13,1,12,4,12,1,4,2,5,2,4,2,9,3,13,1,12,4,12,1,4,2,5,2
1344,6,3,2,2,8,3,10,3,11,4,12,1,6,2,6,3,2,2,8,3,10,3,11,4,12,1,6,2
1345,12,1,7,4,11,3,10,3,2,3,11,3,3,1,12,1,7,4,11,3,10,3,2,3,11,3,3,1
1346,8,4,1,3,7,2,7,4,10,4,5,2,9,2,8,4,1,3,7,2,7,4,10,4,5,2,9,2
1347,2,3,12,2,10,3,7,2,9,3,2,3,7,1,2,3,12,2,10,3,7,2,9,3,2,3,7,1
1348,5,3,4,3,4,2,2,4,2,1,13,1,4,1,5,3,4,3,4,2,2,4,2,1,13,1,4,1
1349,9,1,5,3,12,2,10,4,5,2,3,1,11,2,9,1,5,3,12,2,10,4,5,2,3,1,11,2
1350,3,4,5,2,9,1,3,1,9,3,5,4,5,1,3,4,5,2,9,1,3,1,9,3,5,4,5,1
1351,4,4,13,2,2,1,10,1,3,4,13,3,13,1,4,4,13,2,2,1,10,1,3,4,13,3,13,1
1352,7,4,1,1,10,3,13,2,2,1,3,3,3,1,7,4,1,1,10,3,13,2,2,1,3,3,3,1
1353,9,2,5,3,5,2,8,4,7,2,12,4,6,2,9,2,5,3,5,2,8,4,7,2,12,4,6,2
1354,10,4,1,2,6,3,13,2,3,1,12,2,7,4,10,4,1,2,6,3,13,2,3,1,12,2,7,4
1355,7,1,6,3,6,2,3,1,13,4,13,3,10,3,7,1,6,3,6,2,3,1,13,4,13,3,10,3
1356,8,4,8,1,6,2,3,2,6,3,1,3,6,4,8,4,8,1,6,2,3,2,6,3,1,3,6,4
1357,6,4,5,2,7,4,5,2,5,1,6,2,10,2,6,4,5,2,7,4,5,2,5,1,6,2,10,2
1358,9,1,2,3,1,3,8,2,8,4,6,2,11,4,9,1,2,3,1,3,8,2,8,4,6,2,11,4
1359,6,4,9,4,3,1,11,4,10,1,6,1,11,1,6,4,9,4,3,1,11,4,10,1,6,1,11,1
1360,12,2,13,2,1,2,11,3,8,1,11,2,10,2,12,2,13,2,1,2,11,3,8,1,11,2,10,2
1361,2,1,4,4,11,2,6,4,8,1,1,2,12,4,2,1,4,4,11,2,6,4,8,1,1,2,12,4
1362,4,3,9,3,9,4,7,1,13,1,13,3,6,3,4,3,9,3,9,4,7,1,13,1,13,3,6,3
1363,8,3,1,4,11,2,13,2,5,2,3,3,5,4,8,3,1,4,11,2,13,2,5,2,3,3,5,4
1364,7,3,9,3,10,2,12,3,8,2,8,3,5,1,7,3,9,3,10,2,12,3,8,2,8,3,5,1
1365,2,2,1,2,2,4,3,4,10,2,7,2,1,3,2,2,1,2,2,4,3,4,10,2,7,2,1,3
1366,11,3,8,3,10,1,3,2,11,1,1,4,2,2,11,3,8,3,10,1,3,2,11,1,1,4,2,2
1367,13,2,6,4,6,1,6,3,13,4,8,4,11,1,13,2,6,4,6,1,6,3,13,4,8,4,11,1
1368,9,4,5,1,13,3,6,4,8,2,4,2,9,2,9,4,5,1,13,3,6,4,8,2,4,2,9,2
1369,2,1,9,1,4,3,7,3,11,4,11,4,2,2,2,1,9,1,4,3,7,3,11,4,11,4,2,2
1370,2,1,13,1,6,4,4,3,6,2,1,1,11,3,2,1,13,1,6,4,4,3,6,2,1,1,11,3
1371,5,1,9,4,10,4,7,1,1,4,3,4,11,3,5,1,9,4,10,4,7,1,1,4,3,4,11,3
1372,1,1,3,3,12,2,7,2,2,3,1,3,11,2,1,1,3,3,12,2,7,2,2,3,1,3,11,2
1373,5,1,12,2,11,3,4,2,9,3,13,3,9,3,5,1,12,2,11,3,4,2,9,3,13,3,9,3
1374,12,4,6,3,2,3,9,2,7,4,8,3,11,2,12,4,6,3,2,3,9,2,7,4,8,3,11,2
1375,9,3,7,1,5,4,8,2,5,1,10,3,8,4,9,3,7,1,5,4,8,2,5,1,10,3,8,4
1376,13,3,9,4,10,2,13,4,12,3,7,4,7,3,13,3,9,4,10,2,13,4,12,3,7,4,7,3
1377,5,4,4,2,1,2,11,1,2,4,9,4,3,1,5,4,4,2,1,2,11,1,2,4,9,4,3,1
1378,2,3,10,2,4,1,7,3,12,4,4,3,10,4,2,3,10,2,4,1,7,3,12,4,4,3,10,4
1379,5,4,13,2,13,1,7,3,11,1,4,1,7,1,5,4,13,2,13,1,7,3,11,1,4,1,7,1
1380,6,2,1,4,13,4,4,2,5,4,12,3,1,4,6,2,1,4,13,4,4,2,5,4,12,3,1,4
1381,5,2,10,3,4,4,6,2,6,4,13,3,8,4,5,2,10,3,4,4,6,2,6,4,13,3,8,4
1382,9,2,13,2,6,1,7,3,6,3,1,1,4,2,9,2,13,2,6,1,7,3,6,3,1,1,4,2
1383,7,2,13,4,8,1,7,2,1,1,5,1,12,1,7,2,13,4,8,1,7,2,1,1,5,1,12,1
1384,6,2,11,2,4,4,10,3,7,2,3,2,13,3,6,2,11,2,4,4,10,3,7,2,3,2,13,3
1385,8,4,8,4,8,4,10,1,13,3,3,3,3,4,8,4,8,4,8,4,10,1,13,3,3,3,3,4
1386,11,2,11,4,1,2,7,1,1,4,6,2,4,4,11,2,11,4,1,2,7,1,1,4,6,2,4,4
1387,2,1,12,2,3,1,3,2,9,1,13,4,7,4,2,1,12,2,3,1,3,2,9,1,13,4,7,4
1388,12,1,7,4,9,2,3,1,12,2,13,1,9,4,12,1,7,4,9,2,3,1,12,2,13,1,9,4
1389,5,4,8,4,1,3,13,2,2,2,7,1,4,3,5,4,8,4,1,3,13,2,2,2,7,1,4,3
1390,9,1,8,3,4,4,9,1,9,1,7,1,11,4,9,1,8,3,4,4,9,1,9,1,7,1,11,4
1391,7,3,6,2,12,2,2,2,13,3,11,2,13,3,7,3,6,2,12,2,2,2,13,3,11,2,13,3
1392,13,3,13,2,6,2,10,3,2,3,5,2,10,3,13,3,13,2,6,2,10,3,2,3,5,2,10,3
1393,6,4,9,2,9,3,4,3,10,2,3,3,7,2,6,4,9,2,9,3,4,3,10,2,3,3,7,2
1394,4,2,13,4,13,3,8,3,11,1,6,4,2,3,4,2,13,4,13,3,8,3,11,1,6,4,2,3
1395,2,4,1,4,8,4,7,3,6,3,8,3,3,4,2,4,1,4,8,4,7,3,6,3,8,3,3,4
1396,13,1,4,4,9,1,1,4,13,2,5,1,3,1,13,1,4,4,9,1,1,4,13,2,5,1,3,1
1397,8,1,1,2,6,2,9,1,1,1,12,4,1,4,8,1,1,2,6,2,9,1,1,1,12,4,1,4
1398,6,3,11,1,5,3,4,3,3,2,4,1,2,1,6,3,11,1,5,3,4,3,3,2,4,1,2,1
1399,5,2,7,2,6,3,9,2,6,4,11,1,9,4,5,2,7,2,6,3,9,2,6,4,11,1,9,4
1400,11,2,12,2,10,2,4,3,13,2,8,1,1,1,11,2,12,2,10,2,4,3,13,2,8,1,1,1
1401,12,4,3,4,1,1,7,1,13,1,11,4,9,1,12,4,3,4,1,1,7,1,13,1,11,4,9,1
1402,9,4,6,3,1,1,10,2,3,3,8,3,7,3,9,4,6,3,1,1,10,2,3,3,8,3,7,3
1403,7,2,8,1,12,4,6,1,10,1,3,2,2,1,7,2,8,1,12,4,6,1,10,1,3,2,2,1
1404,10,2,11,2,13,2,2,1,1,3,13,3,8,2,10,2,11,2,13,2,2,1,1,3,13,3,8,2
1405,9,3,13,4,9,3,7,4,9,1,6,3,5,3,9,3,13,4,9,3,7,4,9,1,6,3,5,3
1406,6,1,1,4,9,1,5,1,1,3,3,3,5,4,6,1,1,4,9,1,5,1,1,3,3,3,5,4
1407,11,3,4,1,11,2,13,1,1,1,6,1,11,3,11,3,4,1,11,2,13,1,1,1,6,1,11,3
1408,6,1,11,1,11,4,10,1,5,3,7,3,12,4,6,1,11,1,11,4,10,1,5,3,7,3,12,4
1409,12,1,4,4,7,3,1,1,11,1,9,3,6,3,12,1,4,4,7,3,1,1,11,1,9,3,6,3
1410,12,4,5,1,11,2,7,4,4,3,11,1,2,3,12,4,5,1,11,2,7,4,4,3,11,1,2,3
1411,12,1,7,1,11,1,11,3,2,1,9,4,1,2,12,1,7,1,11,1,11,3,2,1,9,4,1,2
1412,4,3,1,3,7,1,12,2,3,4,7,2,12,2,4,3,1,3,7,1,12,2,3,4,7,2,12,2
1413,12,1,2,3,1,2,6,1,7,4,13,3,7,1,12,1,2,3,1,2,6,1,7,4,13,3,7,1
1414,11,3,8,1,3,4,11,1,1,1,10,3,3,2,11,3,8,1,3,4,11,1,1,1,10,3,3,2
1415,13,1,1,1,11,2,5,1,11,1,8,3,1,1,13,1,1,1,11,2,5,1,11,1,8,3,1,1
1416,3,3,1,2,2,4,6,4,11,2,5,4,13,1,3,3,1,2,2,4,6,4,11,2,5,4,13,1
1417,13,1,9,4,12,3,1,4,1,3,1,4,3,1,13,1,9,4,12,3,1,4,1,3,1,4,3,1
1418,8,2,11,2,4,1,9,2,11,2,7,3,7,2,8,2,11,2,4,1,9,2,11,2,7,3,7,2
1419,1,4,8,1,6,4,9,4,6,4,1,3,3,2,1,4,8,1,6,4,9,4,6,4,1,3,3,2
1420,3,3,5,1,2,2,12,3,7,3,4,2,1,3,3,3,5,1,2,2,12,3,7,3,4,2,1,3
1421,1,3,6,4,6,4,3,3,7,3,8,3,3,3,1,3,6,4,6,4,3,3,7,3,8,3,3,3
1422,4,3,4,2,1,3,1,1,2,3,10,2,12,3,4,3,4,2,1,3,1,1,2,3,10,2,12,3
1423,7,3,10,3,9,1,8,4,8,1,3,2,9,1,7,3,10,3,9,1,8,4,8,1,3,2,9,1
1424,10,2,6,4,6,2,12,3,6,1,10,3,11,3,10,2,6,4,6,2,12,3,6,1,10,3,11,3
1425,1,2,11,2,8,3,5,4,7,4,7,4,10,3,1,2,11,2,8,3,5,4,7,4,7,4,10,3
1426,6,2,7,1,10,1,5,2,12,3,10,2,10,4,6,2,7,1,10,1,5,2,12,3,10,2,10,4
1427,2,3,9,3,7,1,4,3,9,1,8,1,11,2,2,3,9,3,7,1,4,3,9,1,8,1,11,2
1428,3,3,11,3,13,3,13,4,11,1,13,4,6,1,3,3,11,3,13,3,13,4,11,1,13,4,6,1
1429,5,3,4,3,10,4,8,1,6,1,9,3,9,1,5,3,4,3,10,4,8,1,6,1,9,3,9,1
1430,7,3,6,3,5,1,11,4,6,2,6,2,13,4,7,3,6,3,5,1,11,4,6,2,6,2,13,4
1431,1,1,11,1,6,1,1,2,2,4,11,2,8,4,1,1,11,1,6,1,1,2,2,4,11,2,8,4
1432,4,1,3,2,4,3,2,1,10,1,9,2,8,3,4,1,3,2,4,3,2,1,10,1,9,2,8,3
1433,10,4,11,3,5,2,12,1,3,2,2,4,9,4,10,4,11,3,5,2,12,1,3,2,2,4,9,4
1434,11,1,9,1,6,1,7,4,6,3,10,4,10,2,11,1,9,1,6,1,7,4,6,3,10,4,10,2
1435,11,2,6,4,12,2,5,3,1,1,12,2,1,1,11,2,6,4,12,2,5,3,1,1,12,2,1,1
1436,8,4,9,2,13,1,10,4,13,3,3,3,7,4,8,4,9,2,13,1,10,4,13,3,3,3,7,4
1437,10,3,5,1,11,3,12,2,6,2,11,1,8,4,10,3,5,1,11,3,12,2,6,2,11,1,8,4
1438,9,2,7,4,6,4,2,1,7,3,10,4,9,4,9,2,7,4,6,4,2,1,7,3,10,4,9,4
1439,11,3,3,2,9,3,8,1,3,3,10,3,6,2,11,3,3,2,9,3,8,1,3,3,10,3,6,2
1440,1,4,1,4,9,2,4,1,10,3,12,2,4,4,1,4,1,4,9,2,4,1,10,3,12,2,4,4
1441,4,3,12,2,11,4,9,4,10,2,5,4,2,1,4,3,12,2,11,4,9,4,10,2,5,4,2,1
1442,3,2,2,4,11,2,5,3,9,2,4,4,7,3,3,2,2,4,11,2,5,3,9,2,4,4,7,3
1443,5,3,2,1,5,3,11,2,12,2,12,4,3,4,5,3,2,1,5,3,11,2,12,2,12,4,3,4
1444,3,4,13,1,10,1,5,3,10,3,4,3,8,1,3,4,13,1,10,1,5,3,10,3,4,3,8,1
1445,9,3,11,1,3,3,3,2,9,4,13,1,7,3,9,3,11,1,3,3,3,2,9,4,13,1,7,3
1446,1,1,3,2,4,1,2,3,7,2,10,1,7,1,1,1,3,2,4,1,2,3,7,2,10,1,7,1
1447,7,3,4,3,5,3,4,1,12,3,4,3,8,2,7,3,4,3,5,3,4,1,12,3,4,3,8,2
1448,13,4,6,1,10,4,2,4,9,1,2,4,11,3,13,4,6,1,10,4,2,4,9,1,2,4,11,3
1449,11,2,8,1,9,1,1,3,8,4,4,1,2,3,11,2,8,1,9,1,1,3,8,4,4,1,2,3
1450,4,1,2,1,11,4,1,3,8,2,1,3,11,3,4,1,2,1,11,4,1,3,8,2,1,3,11,3
1451,9,3,9,1,10,2,7,1,8,1,6,1,9,1,9,3,9,1,10,2,7,1,8,1,6,1,9,1
1452,12,4,7,4,5,4,11,4,5,4,3,3,5,3,12,4,7,4,5,4,11,4,5,4,3,3,5,3
1453,2,2,2,1,10,2,10,4,12,3,8,2,5,4,2,2,2,1,10,2,10,4,12,3,8,2,5,4
1454,13,1,10,2,6,2,10,3,5,4,1,2,10,4,13,1,10,2,6,2,10,3,5,4,1,2,10,4
1455,9,1,10,2,9,3,10,1,1,2,11,4,4,4,9,1,10,2,9,3,10,1,1,2,11,4,4,4
1456,2,2,6,1,8,1,10,3,11,4,11,1,1,2,2,2,6,1,8,1,10,3,11,4,11,1,1,2
1457,11,2,13,3,5,2,1,4,6,2,8,4,6,2,11,2,13,3,5,2,1,4,6,2,8,4,6,2
1458,4,4,7,2,6,1,2,4,1,4,6,4,2,2,4,4,7,2,6,1,2,4,1,4,6,4,2,2
1459,6,1,5,4,8,1,10,3,8,1,1,4,1,1,6,1,5,4,8,1,10,3,8,1,1,4,1,1
1460,6,2,7,1,13,2,12,4,4,3,11,1,12,2,6,2,7,1,13,2,12,4,4,3,11,1,12,2
1461,8,4,7,3,4,4,6,2,11,3,6,1,2,2,8,4,7,3,4,4,6,2,11,3,6,1,2,2
1462,5,4,10,2,10,3,7,2,11,3,9,1,9,1,5,4,10,2,10,3,7,2,11,3,9,1,9,1
1463,4,4,11,3,13,3,10,3,12,1,1,2,3,4,4,4,11,3,13,3,10,3,12,1,1,2,3,4
1464,6,1,9,2,1,4,10,2,10,3,11,3,6,4,6,1,9,2,1,4,10,2,10,3,11,3,6,4
1465,6,4,10,2,8,1,1,4,2,1,1,4,9,1,6,4,10,2,8,1,1,4,2,1,1,4,9,1
1466,13,4,5,1,1,3,1,1,2,2,3,2,6,2,13,4,5,1,1,3,1,1,2,2,3,2,6,2
1467,4,4,4,4,8,3,3,1,11,4,13,4,10,3,4,4,4,4,8,3,3,1,11,4,13,4,10,3
1468,8,4,2,1,9,4,1,3,2,4,9,3,13,1,8,4,2,1,9,4,1,3,2,4,9,3,13,1
1469,3,1,6,1,11,1,2,2,5,4,2,3,7,3,3,1,6,1,11,1,2,2,5,4,2,3,7,3
1470,5,2,8,2,2,2,9,1,10,3,5,3,3,3,5,2,8,2,2,2,9,1,10,3,5,3,3,3
