,rank1,suit1,rank2,suit2,rank3,suit3,rank4,suit4,rank5,suit5,rank6,suit6,rank7,suit7,class,win
5142,8,diamonds,11,hearts,6,spades,7,spades,2,spades,9,clubs,6,hearts,1,1
5143,3,clubs,4,hearts,6,spades,7,spades,2,spades,9,clubs,6,hearts,1,-1
5144,1,diamonds,5,diamonds,2,clubs,7,spades,10,hearts,13,clubs,10,spades,1,-1
5145,10,hearts,8,clubs,2,clubs,7,spades,10,hearts,13,clubs,10,spades,3,1
5146,11,hearts,8,spades,6,diamonds,3,diamonds,9,clubs,11,diamonds,8,spades,2,1
5147,1,spades,4,diamonds,6,diamonds,3,diamonds,9,clubs,11,diamonds,8,spades,0,-1
5148,11,spades,5,spades,4,spades,7,spades,12,clubs,1,diamonds,11,clubs,1,1
5149,13,hearts,13,spades,4,spades,7,spades,12,clubs,1,diamonds,11,clubs,1,-1
5150,8,clubs,10,hearts,7,spades,9,diamonds,2,hearts,8,clubs,1,hearts,1,1
5151,9,clubs,4,diamonds,7,spades,9,diamonds,2,hearts,8,clubs,1,hearts,1,-1
5152,6,spades,9,hearts,4,clubs,6,clubs,13,diamonds,10,hearts,6,clubs,3,1
5153,1,clubs,3,diamonds,4,clubs,6,clubs,13,diamonds,10,hearts,6,clubs,1,-1
5154,7,clubs,6,spades,4,spades,1,spades,4,diamonds,1,spades,10,spades,5,-1
5155,9,spades,4,clubs,4,spades,1,spades,4,diamonds,1,spades,10,spades,6,1
5156,6,hearts,13,hearts,13,diamonds,7,hearts,5,hearts,4,hearts,12,diamonds,5,1
5157,8,clubs,4,clubs,13,diamonds,7,hearts,5,hearts,4,hearts,12,diamonds,1,-1
5158,9,spades,5,hearts,3,diamonds,6,diamonds,10,clubs,7,clubs,9,hearts,1,-1
5159,3,hearts,6,hearts,3,diamonds,6,diamonds,10,clubs,7,clubs,9,hearts,2,1
5160,6,clubs,11,hearts,9,spades,12,hearts,1,diamonds,6,diamonds,11,spades,2,1
5161,13,clubs,2,clubs,9,spades,12,hearts,1,diamonds,6,diamonds,11,spades,0,-1
5162,6,spades,5,diamonds,13,hearts,1,hearts,3,spades,13,clubs,13,spades,3,1
5163,11,hearts,7,clubs,13,hearts,1,hearts,3,spades,13,clubs,13,spades,3,-1
5164,1,diamonds,5,hearts,12,hearts,4,spades,7,hearts,2,spades,2,clubs,1,1
5165,5,hearts,6,diamonds,12,hearts,4,spades,7,hearts,2,spades,2,clubs,1,-1
5166,12,clubs,9,spades,13,spades,4,spades,4,diamonds,2,hearts,10,spades,1,-1
5167,10,hearts,8,spades,13,spades,4,spades,4,diamonds,2,hearts,10,spades,2,1
5168,11,spades,7,diamonds,12,spades,5,hearts,7,clubs,11,clubs,5,diamonds,2,1
5169,1,diamonds,9,spades,12,spades,5,hearts,7,clubs,11,clubs,5,diamonds,1,-1
5170,10,spades,2,clubs,5,diamonds,12,spades,13,spades,13,clubs,10,hearts,2,1
5171,6,hearts,4,diamonds,5,diamonds,12,spades,13,spades,13,clubs,10,hearts,1,-1
5172,9,clubs,11,diamonds,5,clubs,13,clubs,2,spades,9,clubs,12,diamonds,1,1
5173,8,clubs,4,hearts,5,clubs,13,clubs,2,spades,9,clubs,12,diamonds,0,-1
5174,7,diamonds,8,hearts,10,diamonds,2,clubs,3,diamonds,10,spades,7,spades,2,1
5175,9,clubs,11,clubs,10,diamonds,2,clubs,3,diamonds,10,spades,7,spades,1,-1
5176,3,spades,11,spades,10,hearts,2,hearts,13,spades,12,clubs,4,diamonds,0,-1
5177,10,clubs,12,clubs,10,hearts,2,hearts,13,spades,12,clubs,4,diamonds,2,1
5178,3,clubs,8,spades,9,spades,7,clubs,13,hearts,1,clubs,9,clubs,1,1
5179,8,diamonds,11,diamonds,9,spades,7,clubs,13,hearts,1,clubs,9,clubs,1,-1
5180,5,spades,7,spades,1,clubs,5,hearts,10,diamonds,6,diamonds,6,diamonds,2,1
5181,9,hearts,5,clubs,1,clubs,5,hearts,10,diamonds,6,diamonds,6,diamonds,2,-1
5182,2,spades,7,spades,7,hearts,11,hearts,5,hearts,2,clubs,5,hearts,2,1
5183,12,spades,9,spades,7,hearts,11,hearts,5,hearts,2,clubs,5,hearts,1,-1
5184,6,spades,12,hearts,2,diamonds,11,diamonds,8,hearts,4,clubs,6,spades,1,1
5185,8,spades,3,spades,2,diamonds,11,diamonds,8,hearts,4,clubs,6,spades,1,-1
5186,6,clubs,4,diamonds,6,clubs,6,diamonds,2,spades,5,clubs,13,diamonds,3,1
5187,10,clubs,2,spades,6,clubs,6,diamonds,2,spades,5,clubs,13,diamonds,2,-1
5188,3,clubs,6,spades,4,clubs,6,diamonds,6,clubs,1,clubs,12,spades,3,1
5189,7,hearts,5,clubs,4,clubs,6,diamonds,6,clubs,1,clubs,12,spades,1,-1
5190,1,hearts,9,hearts,12,clubs,1,hearts,11,clubs,8,hearts,10,diamonds,1,-1
5191,1,spades,8,hearts,12,clubs,1,hearts,11,clubs,8,hearts,10,diamonds,2,1
5192,4,diamonds,7,spades,10,spades,13,hearts,9,hearts,6,diamonds,11,spades,0,1
5193,8,diamonds,7,diamonds,10,spades,13,hearts,9,hearts,6,diamonds,11,spades,0,-1
5194,4,spades,13,spades,10,diamonds,4,hearts,1,clubs,4,diamonds,13,diamonds,6,1
5195,11,hearts,7,hearts,10,diamonds,4,hearts,1,clubs,4,diamonds,13,diamonds,1,-1
5196,1,spades,9,hearts,12,spades,5,clubs,9,clubs,9,diamonds,13,diamonds,3,1
5197,3,clubs,6,spades,12,spades,5,clubs,9,clubs,9,diamonds,13,diamonds,1,-1
5198,1,hearts,10,diamonds,7,clubs,11,clubs,6,clubs,5,diamonds,2,hearts,0,-1
5199,11,diamonds,5,hearts,7,clubs,11,clubs,6,clubs,5,diamonds,2,hearts,2,1
5200,4,spades,2,clubs,3,clubs,2,hearts,7,clubs,1,spades,7,clubs,2,1
5201,3,clubs,10,diamonds,3,clubs,2,hearts,7,clubs,1,spades,7,clubs,2,-1
5202,13,diamonds,6,hearts,13,spades,10,diamonds,6,clubs,3,spades,3,spades,2,1
5203,2,spades,4,diamonds,13,spades,10,diamonds,6,clubs,3,spades,3,spades,1,-1
5204,9,hearts,11,hearts,1,hearts,12,spades,6,hearts,5,hearts,11,hearts,1,-1
5205,6,clubs,13,hearts,1,hearts,12,spades,6,hearts,5,hearts,11,hearts,5,1
5206,10,hearts,13,diamonds,4,spades,5,clubs,11,clubs,4,hearts,1,spades,1,-1
5207,4,hearts,8,clubs,4,spades,5,clubs,11,clubs,4,hearts,1,spades,3,1
5208,8,hearts,2,spades,8,hearts,1,clubs,5,diamonds,1,clubs,7,hearts,2,-1
5209,2,clubs,1,hearts,8,hearts,1,clubs,5,diamonds,1,clubs,7,hearts,3,1
5210,4,clubs,8,spades,11,spades,2,spades,2,clubs,6,hearts,10,spades,1,1
5211,9,hearts,4,clubs,11,spades,2,spades,2,clubs,6,hearts,10,spades,1,-1
5212,2,diamonds,12,clubs,10,spades,13,diamonds,13,spades,10,hearts,10,hearts,6,1
5213,8,spades,8,hearts,10,spades,13,diamonds,13,spades,10,hearts,10,hearts,6,-1
5214,3,spades,5,spades,10,hearts,11,spades,7,diamonds,1,diamonds,11,hearts,1,1
5215,8,clubs,4,diamonds,10,hearts,11,spades,7,diamonds,1,diamonds,11,hearts,1,-1
5216,1,clubs,10,hearts,9,diamonds,6,hearts,2,hearts,8,hearts,10,hearts,5,1
5217,7,diamonds,1,spades,9,diamonds,6,hearts,2,hearts,8,hearts,10,hearts,0,-1
5218,13,hearts,6,hearts,4,hearts,12,clubs,9,spades,13,diamonds,9,spades,2,1
5219,4,spades,11,hearts,4,hearts,12,clubs,9,spades,13,diamonds,9,spades,2,-1
5220,4,spades,1,clubs,9,spades,9,hearts,12,clubs,9,diamonds,5,hearts,3,1
5221,4,clubs,13,spades,9,spades,9,hearts,12,clubs,9,diamonds,5,hearts,3,-1
5222,7,hearts,2,hearts,5,clubs,3,spades,9,hearts,10,diamonds,3,clubs,1,-1
5223,6,spades,10,diamonds,5,clubs,3,spades,9,hearts,10,diamonds,3,clubs,2,1
5224,2,hearts,4,diamonds,8,hearts,4,diamonds,3,diamonds,13,hearts,7,clubs,1,1
5225,3,spades,9,hearts,8,hearts,4,diamonds,3,diamonds,13,hearts,7,clubs,1,-1
5226,3,clubs,6,hearts,9,diamonds,9,hearts,8,spades,3,diamonds,9,hearts,6,1
5227,1,spades,3,spades,9,diamonds,9,hearts,8,spades,3,diamonds,9,hearts,6,-1
5228,7,spades,1,spades,1,spades,10,clubs,13,hearts,2,spades,9,clubs,1,1
5229,1,clubs,12,clubs,1,spades,10,clubs,13,hearts,2,spades,9,clubs,1,-1
5230,2,hearts,13,clubs,8,diamonds,13,clubs,8,clubs,7,clubs,10,hearts,2,-1
5231,11,clubs,8,diamonds,8,diamonds,13,clubs,8,clubs,7,clubs,10,hearts,3,1
5232,10,diamonds,12,hearts,6,diamonds,13,spades,2,clubs,4,spades,12,hearts,1,-1
5233,12,clubs,4,spades,6,diamonds,13,spades,2,clubs,4,spades,12,hearts,2,1
5234,10,spades,11,clubs,5,clubs,10,hearts,13,clubs,9,spades,12,spades,1,1
5235,9,hearts,8,diamonds,5,clubs,10,hearts,13,clubs,9,spades,12,spades,1,-1
5236,4,clubs,1,spades,6,diamonds,2,hearts,7,diamonds,7,spades,6,clubs,2,1
5237,2,hearts,9,diamonds,6,diamonds,2,hearts,7,diamonds,7,spades,6,clubs,2,-1
5238,2,hearts,4,hearts,3,spades,4,hearts,7,diamonds,12,clubs,8,diamonds,1,1
5239,10,spades,2,clubs,3,spades,4,hearts,7,diamonds,12,clubs,8,diamonds,0,-1
5240,10,clubs,8,diamonds,12,spades,12,hearts,8,spades,2,hearts,7,clubs,2,1
5241,3,clubs,8,clubs,12,spades,12,hearts,8,spades,2,hearts,7,clubs,2,-1
5242,3,hearts,2,hearts,13,clubs,7,hearts,10,clubs,7,clubs,4,diamonds,1,1
5243,8,diamonds,5,clubs,13,clubs,7,hearts,10,clubs,7,clubs,4,diamonds,1,-1
5244,9,diamonds,11,hearts,12,diamonds,6,spades,5,diamonds,3,clubs,13,hearts,0,1
5245,4,clubs,7,hearts,12,diamonds,6,spades,5,diamonds,3,clubs,13,hearts,0,-1
5246,10,hearts,9,diamonds,3,clubs,7,hearts,8,diamonds,2,spades,4,hearts,0,1
5247,13,hearts,11,clubs,3,clubs,7,hearts,8,diamonds,2,spades,4,hearts,0,-1
5248,10,hearts,13,diamonds,2,clubs,11,clubs,12,diamonds,7,diamonds,3,spades,0,-1
5249,5,clubs,12,hearts,2,clubs,11,clubs,12,diamonds,7,diamonds,3,spades,1,1
5250,13,clubs,10,hearts,6,hearts,7,spades,1,clubs,1,hearts,3,diamonds,1,-1
5251,13,hearts,6,clubs,6,hearts,7,spades,1,clubs,1,hearts,3,diamonds,2,1
5252,13,clubs,10,diamonds,10,hearts,5,diamonds,9,hearts,10,clubs,10,clubs,7,1
5253,8,clubs,12,spades,10,hearts,5,diamonds,9,hearts,10,clubs,10,clubs,3,-1
5254,7,hearts,3,diamonds,10,diamonds,4,clubs,4,diamonds,13,hearts,1,clubs,1,1
5255,3,clubs,2,spades,10,diamonds,4,clubs,4,diamonds,13,hearts,1,clubs,1,-1
5256,3,hearts,11,hearts,13,clubs,7,clubs,10,spades,3,spades,3,diamonds,3,1
5257,12,hearts,1,spades,13,clubs,7,clubs,10,spades,3,spades,3,diamonds,1,-1
5258,13,spades,4,hearts,11,spades,11,clubs,6,clubs,9,diamonds,8,hearts,1,1
5259,3,hearts,13,hearts,11,spades,11,clubs,6,clubs,9,diamonds,8,hearts,1,-1
5260,10,clubs,9,diamonds,4,diamonds,9,diamonds,6,hearts,8,diamonds,5,diamonds,5,1
5261,2,diamonds,11,clubs,4,diamonds,9,diamonds,6,hearts,8,diamonds,5,diamonds,5,-1
5262,11,hearts,1,clubs,9,clubs,9,diamonds,1,hearts,11,diamonds,5,clubs,2,-1
5263,13,spades,9,hearts,9,clubs,9,diamonds,1,hearts,11,diamonds,5,clubs,3,1
5264,3,spades,6,diamonds,11,spades,9,hearts,6,spades,9,spades,1,diamonds,2,1
5265,11,clubs,12,hearts,11,spades,9,hearts,6,spades,9,spades,1,diamonds,2,-1
5266,8,clubs,4,spades,9,clubs,2,spades,2,hearts,3,clubs,9,clubs,2,1
5267,4,hearts,10,spades,9,clubs,2,spades,2,hearts,3,clubs,9,clubs,2,-1
5268,11,spades,12,hearts,3,diamonds,5,hearts,13,clubs,5,diamonds,8,hearts,1,-1
5269,8,clubs,7,diamonds,3,diamonds,5,hearts,13,clubs,5,diamonds,8,hearts,2,1
5270,11,diamonds,9,hearts,5,clubs,12,spades,12,clubs,4,diamonds,13,spades,1,-1
5271,1,diamonds,5,spades,5,clubs,12,spades,12,clubs,4,diamonds,13,spades,2,1
5272,2,diamonds,3,clubs,12,spades,1,diamonds,10,spades,9,clubs,12,clubs,1,-1
5273,9,hearts,5,clubs,12,spades,1,diamonds,10,spades,9,clubs,12,clubs,2,1
5274,6,spades,8,hearts,5,clubs,8,diamonds,2,spades,1,spades,4,hearts,1,1
5275,11,hearts,12,spades,5,clubs,8,diamonds,2,spades,1,spades,4,hearts,0,-1
5276,13,spades,12,spades,6,diamonds,10,clubs,2,hearts,8,clubs,13,clubs,1,1
5277,12,clubs,2,diamonds,6,diamonds,10,clubs,2,hearts,8,clubs,13,clubs,1,-1
5278,4,clubs,8,clubs,2,clubs,2,hearts,7,spades,2,clubs,3,clubs,5,1
5279,13,diamonds,8,spades,2,clubs,2,hearts,7,spades,2,clubs,3,clubs,3,-1
5280,5,spades,1,clubs,13,hearts,1,spades,7,hearts,11,hearts,11,diamonds,2,1
5281,10,diamonds,2,hearts,13,hearts,1,spades,7,hearts,11,hearts,11,diamonds,1,-1
5282,7,clubs,7,diamonds,3,spades,13,diamonds,9,diamonds,13,spades,13,clubs,6,1
5283,9,diamonds,2,clubs,3,spades,13,diamonds,9,diamonds,13,spades,13,clubs,6,-1
5284,13,spades,1,diamonds,7,diamonds,4,spades,3,clubs,13,spades,9,clubs,1,1
5285,11,diamonds,12,diamonds,7,diamonds,4,spades,3,clubs,13,spades,9,clubs,0,-1
5286,13,diamonds,1,spades,3,spades,3,clubs,9,diamonds,5,clubs,1,clubs,2,1
5287,13,clubs,13,diamonds,3,spades,3,clubs,9,diamonds,5,clubs,1,clubs,2,-1
5288,7,clubs,10,diamonds,3,spades,13,hearts,6,hearts,4,spades,5,diamonds,0,1
5289,7,diamonds,9,spades,3,spades,13,hearts,6,hearts,4,spades,5,diamonds,0,-1
5290,8,spades,2,hearts,4,spades,1,diamonds,2,hearts,3,diamonds,10,spades,1,1
5291,8,hearts,11,hearts,4,spades,1,diamonds,2,hearts,3,diamonds,10,spades,0,-1
5292,10,spades,1,diamonds,5,spades,10,clubs,7,hearts,9,diamonds,9,clubs,2,1
5293,10,hearts,12,diamonds,5,spades,10,clubs,7,hearts,9,diamonds,9,clubs,2,-1
5294,4,clubs,6,clubs,8,clubs,2,clubs,5,diamonds,4,spades,3,hearts,1,-1
5295,4,spades,5,spades,8,clubs,2,clubs,5,diamonds,4,spades,3,hearts,2,1
5296,8,spades,7,hearts,5,hearts,12,hearts,13,spades,6,spades,10,clubs,0,-1
5297,12,hearts,9,diamonds,5,hearts,12,hearts,13,spades,6,spades,10,clubs,1,1
5298,11,spades,13,clubs,11,clubs,13,clubs,13,diamonds,10,diamonds,4,clubs,6,1
5299,7,diamonds,4,hearts,11,clubs,13,clubs,13,diamonds,10,diamonds,4,clubs,2,-1
5300,7,clubs,7,diamonds,7,spades,11,hearts,8,hearts,1,spades,5,spades,3,1
5301,11,spades,12,diamonds,7,spades,11,hearts,8,hearts,1,spades,5,spades,1,-1
5302,12,spades,13,diamonds,12,spades,6,spades,6,clubs,12,spades,12,diamonds,7,1
5303,11,hearts,10,hearts,12,spades,6,spades,6,clubs,12,spades,12,diamonds,6,-1
5304,9,clubs,4,diamonds,13,clubs,2,diamonds,7,spades,2,clubs,5,diamonds,1,1
5305,1,diamonds,12,hearts,13,clubs,2,diamonds,7,spades,2,clubs,5,diamonds,1,-1
5306,4,hearts,13,diamonds,8,diamonds,6,diamonds,9,hearts,3,spades,8,hearts,1,1
5307,7,clubs,1,hearts,8,diamonds,6,diamonds,9,hearts,3,spades,8,hearts,1,-1
5308,11,diamonds,5,diamonds,1,spades,10,hearts,10,spades,12,diamonds,8,clubs,1,1
5309,4,spades,7,hearts,1,spades,10,hearts,10,spades,12,diamonds,8,clubs,1,-1
5310,5,hearts,5,diamonds,13,spades,7,spades,5,diamonds,9,clubs,11,clubs,3,1
5311,5,hearts,13,clubs,13,spades,7,spades,5,diamonds,9,clubs,11,clubs,2,-1
5312,13,clubs,1,spades,13,hearts,3,spades,8,hearts,11,spades,5,diamonds,1,1
5313,4,spades,4,diamonds,13,hearts,3,spades,8,hearts,11,spades,5,diamonds,1,-1
5314,1,spades,7,diamonds,6,spades,7,clubs,8,hearts,7,clubs,4,diamonds,3,1
5315,10,clubs,12,hearts,6,spades,7,clubs,8,hearts,7,clubs,4,diamonds,1,-1
5316,1,hearts,10,spades,6,diamonds,11,diamonds,12,diamonds,5,spades,7,clubs,0,-1
5317,3,diamonds,5,clubs,6,diamonds,11,diamonds,12,diamonds,5,spades,7,clubs,1,1
5318,9,clubs,10,hearts,11,spades,5,spades,8,clubs,12,diamonds,1,diamonds,0,-1
5319,7,diamonds,12,diamonds,11,spades,5,spades,8,clubs,12,diamonds,1,diamonds,1,1
5320,5,diamonds,11,diamonds,12,clubs,10,clubs,4,clubs,1,spades,12,spades,1,-1
5321,1,spades,9,hearts,12,clubs,10,clubs,4,clubs,1,spades,12,spades,2,1
5322,4,clubs,5,hearts,7,clubs,6,hearts,11,spades,13,hearts,9,diamonds,0,-1
5323,7,hearts,9,hearts,7,clubs,6,hearts,11,spades,13,hearts,9,diamonds,2,1
5324,8,hearts,4,clubs,4,diamonds,7,diamonds,7,hearts,8,spades,1,hearts,2,1
5325,9,hearts,3,spades,4,diamonds,7,diamonds,7,hearts,8,spades,1,hearts,1,-1
5326,1,spades,1,diamonds,7,clubs,8,diamonds,5,hearts,5,clubs,7,clubs,2,-1
5327,7,diamonds,4,spades,7,clubs,8,diamonds,5,hearts,5,clubs,7,clubs,6,1
5328,11,hearts,3,clubs,13,hearts,10,clubs,5,spades,6,clubs,4,hearts,0,-1
5329,7,hearts,5,clubs,13,hearts,10,clubs,5,spades,6,clubs,4,hearts,1,1
5330,2,spades,8,spades,1,hearts,12,hearts,7,hearts,6,hearts,5,spades,0,1
5331,9,spades,3,clubs,1,hearts,12,hearts,7,hearts,6,hearts,5,spades,0,-1
5332,11,spades,3,hearts,3,hearts,7,clubs,6,diamonds,10,spades,11,hearts,2,1
5333,4,hearts,6,hearts,3,hearts,7,clubs,6,diamonds,10,spades,11,hearts,1,-1
5334,13,clubs,10,clubs,1,clubs,10,spades,12,spades,7,clubs,1,diamonds,2,1
5335,3,hearts,12,clubs,1,clubs,10,spades,12,spades,7,clubs,1,diamonds,2,-1
5336,11,spades,8,hearts,10,clubs,2,hearts,11,clubs,13,spades,5,hearts,1,1
5337,1,clubs,13,clubs,10,clubs,2,hearts,11,clubs,13,spades,5,hearts,1,-1
5338,8,diamonds,6,clubs,12,clubs,5,spades,9,diamonds,13,clubs,3,diamonds,0,-1
5339,9,diamonds,11,clubs,12,clubs,5,spades,9,diamonds,13,clubs,3,diamonds,1,1
5340,13,diamonds,2,spades,13,clubs,9,spades,11,hearts,13,spades,1,diamonds,3,1
5341,9,diamonds,4,spades,13,clubs,9,spades,11,hearts,13,spades,1,diamonds,2,-1
5342,10,hearts,13,spades,8,clubs,7,hearts,13,hearts,5,spades,1,clubs,1,1
5343,2,diamonds,4,hearts,8,clubs,7,hearts,13,hearts,5,spades,1,clubs,0,-1
5344,12,diamonds,11,diamonds,2,clubs,8,clubs,4,hearts,5,diamonds,1,spades,0,-1
5345,1,clubs,5,clubs,2,clubs,8,clubs,4,hearts,5,diamonds,1,spades,2,1
5346,4,hearts,6,hearts,10,diamonds,1,diamonds,5,diamonds,10,diamonds,5,hearts,2,1
5347,2,hearts,3,spades,10,diamonds,1,diamonds,5,diamonds,10,diamonds,5,hearts,2,-1
5348,7,diamonds,9,spades,2,hearts,6,spades,13,diamonds,3,spades,3,hearts,1,-1
5349,13,diamonds,5,hearts,2,hearts,6,spades,13,diamonds,3,spades,3,hearts,2,1
5350,12,clubs,12,diamonds,6,spades,1,clubs,10,spades,9,hearts,5,clubs,1,1
5351,1,diamonds,4,diamonds,6,spades,1,clubs,10,spades,9,hearts,5,clubs,1,-1
5352,1,spades,9,clubs,8,hearts,5,clubs,5,diamonds,9,hearts,2,clubs,2,1
5353,6,hearts,11,spades,8,hearts,5,clubs,5,diamonds,9,hearts,2,clubs,1,-1
5354,5,diamonds,1,clubs,2,clubs,8,spades,3,diamonds,5,hearts,9,clubs,1,-1
5355,5,hearts,5,spades,2,clubs,8,spades,3,diamonds,5,hearts,9,clubs,3,1
5356,11,hearts,8,hearts,12,spades,4,spades,5,hearts,2,spades,10,spades,0,-1
5357,13,hearts,4,spades,12,spades,4,spades,5,hearts,2,spades,10,spades,5,1
5358,4,spades,13,spades,2,diamonds,4,spades,3,diamonds,6,clubs,3,clubs,2,1
5359,7,clubs,9,hearts,2,diamonds,4,spades,3,diamonds,6,clubs,3,clubs,1,-1
5360,2,diamonds,4,diamonds,9,hearts,13,diamonds,5,spades,10,diamonds,8,spades,0,-1
5361,10,diamonds,1,hearts,9,hearts,13,diamonds,5,spades,10,diamonds,8,spades,1,1
5362,11,spades,3,spades,1,clubs,11,clubs,12,clubs,8,clubs,10,spades,1,-1
5363,6,clubs,2,diamonds,1,clubs,11,clubs,12,clubs,8,clubs,10,spades,5,1
5364,6,clubs,4,diamonds,1,hearts,12,diamonds,13,clubs,2,clubs,8,clubs,0,-1
5365,9,clubs,1,diamonds,1,hearts,12,diamonds,13,clubs,2,clubs,8,clubs,1,1
5366,10,diamonds,2,clubs,10,hearts,10,spades,13,hearts,1,spades,3,spades,3,-1
5367,13,diamonds,13,hearts,10,hearts,10,spades,13,hearts,1,spades,3,spades,6,1
5368,9,hearts,5,diamonds,9,diamonds,5,clubs,6,diamonds,13,clubs,5,diamonds,6,1
5369,7,spades,9,spades,9,diamonds,5,clubs,6,diamonds,13,clubs,5,diamonds,2,-1
5370,3,clubs,5,clubs,12,diamonds,2,hearts,7,spades,13,spades,11,diamonds,0,-1
5371,1,diamonds,13,clubs,12,diamonds,2,hearts,7,spades,13,spades,11,diamonds,1,1
5372,8,diamonds,3,clubs,2,diamonds,8,hearts,1,hearts,12,clubs,11,spades,1,1
5373,10,hearts,6,hearts,2,diamonds,8,hearts,1,hearts,12,clubs,11,spades,0,-1
5374,4,diamonds,9,diamonds,7,spades,9,spades,8,clubs,6,diamonds,6,hearts,2,1
5375,13,clubs,3,hearts,7,spades,9,spades,8,clubs,6,diamonds,6,hearts,1,-1
5376,9,clubs,5,clubs,4,diamonds,9,hearts,6,spades,7,hearts,4,diamonds,2,1
5377,10,diamonds,5,spades,4,diamonds,9,hearts,6,spades,7,hearts,4,diamonds,1,-1
5378,4,diamonds,12,diamonds,7,spades,9,hearts,1,hearts,3,diamonds,11,clubs,0,-1
5379,9,diamonds,8,hearts,7,spades,9,hearts,1,hearts,3,diamonds,11,clubs,1,1
5380,2,diamonds,12,hearts,9,diamonds,2,hearts,6,diamonds,1,hearts,6,clubs,2,1
5381,1,hearts,7,spades,9,diamonds,2,hearts,6,diamonds,1,hearts,6,clubs,2,-1
5382,7,clubs,6,hearts,4,spades,11,hearts,5,clubs,10,clubs,9,diamonds,0,-1
5383,10,clubs,3,diamonds,4,spades,11,hearts,5,clubs,10,clubs,9,diamonds,1,1
5384,7,diamonds,5,diamonds,11,spades,2,spades,3,clubs,5,diamonds,1,spades,1,1
5385,4,diamonds,3,spades,11,spades,2,spades,3,clubs,5,diamonds,1,spades,1,-1
5386,12,clubs,8,spades,9,diamonds,2,clubs,3,diamonds,3,spades,7,clubs,1,1
5387,4,diamonds,11,hearts,9,diamonds,2,clubs,3,diamonds,3,spades,7,clubs,1,-1
5388,10,hearts,4,hearts,2,diamonds,11,clubs,7,spades,3,diamonds,3,clubs,1,1
5389,8,diamonds,5,hearts,2,diamonds,11,clubs,7,spades,3,diamonds,3,clubs,1,-1
5390,11,clubs,4,hearts,3,clubs,4,spades,1,spades,6,hearts,4,clubs,3,1
5391,3,diamonds,2,hearts,3,clubs,4,spades,1,spades,6,hearts,4,clubs,2,-1
5392,10,diamonds,1,spades,7,spades,5,clubs,4,clubs,5,clubs,10,clubs,2,-1
5393,9,clubs,6,spades,7,spades,5,clubs,4,clubs,5,clubs,10,clubs,5,1
5394,10,clubs,8,clubs,5,hearts,6,hearts,13,spades,5,clubs,4,diamonds,1,1
5395,10,diamonds,7,diamonds,5,hearts,6,hearts,13,spades,5,clubs,4,diamonds,1,-1
5396,8,clubs,10,hearts,2,hearts,8,diamonds,3,hearts,3,diamonds,10,clubs,2,1
5397,5,clubs,1,spades,2,hearts,8,diamonds,3,hearts,3,diamonds,10,clubs,1,-1
5398,6,diamonds,12,clubs,5,clubs,10,spades,9,spades,2,diamonds,1,clubs,0,1
5399,4,diamonds,3,spades,5,clubs,10,spades,9,spades,2,diamonds,1,clubs,0,-1
5400,4,hearts,10,hearts,1,clubs,6,hearts,12,clubs,3,hearts,5,spades,0,-1
5401,11,spades,6,clubs,1,clubs,6,hearts,12,clubs,3,hearts,5,spades,1,1
5402,11,hearts,9,spades,7,hearts,10,hearts,5,hearts,9,clubs,12,hearts,5,1
5403,9,hearts,7,clubs,7,hearts,10,hearts,5,hearts,9,clubs,12,hearts,5,-1
5404,5,diamonds,1,hearts,2,hearts,3,clubs,10,clubs,4,clubs,9,hearts,0,-1
5405,9,diamonds,10,hearts,2,hearts,3,clubs,10,clubs,4,clubs,9,hearts,2,1
5406,1,diamonds,5,diamonds,12,clubs,12,diamonds,4,diamonds,8,clubs,6,hearts,1,-1
5407,6,diamonds,5,clubs,12,clubs,12,diamonds,4,diamonds,8,clubs,6,hearts,2,1
5408,12,clubs,7,clubs,3,clubs,7,clubs,2,diamonds,10,hearts,10,diamonds,2,1
5409,11,clubs,2,spades,3,clubs,7,clubs,2,diamonds,10,hearts,10,diamonds,2,-1
5410,4,spades,10,spades,13,diamonds,2,diamonds,6,diamonds,13,clubs,11,diamonds,1,-1
5411,13,diamonds,10,spades,13,diamonds,2,diamonds,6,diamonds,13,clubs,11,diamonds,5,1
5412,11,spades,13,hearts,6,diamonds,11,spades,7,spades,2,spades,4,spades,5,1
5413,4,clubs,8,diamonds,6,diamonds,11,spades,7,spades,2,spades,4,spades,1,-1
5414,13,hearts,4,diamonds,13,clubs,5,hearts,6,diamonds,1,spades,6,hearts,2,-1
5415,5,diamonds,6,hearts,13,clubs,5,hearts,6,diamonds,1,spades,6,hearts,6,1
5416,3,diamonds,11,spades,4,hearts,11,hearts,11,clubs,12,spades,1,diamonds,3,1
5417,12,spades,13,diamonds,4,hearts,11,hearts,11,clubs,12,spades,1,diamonds,2,-1
5418,9,diamonds,5,spades,13,diamonds,13,clubs,2,clubs,8,clubs,5,clubs,2,-1
5419,6,clubs,6,hearts,13,diamonds,13,clubs,2,clubs,8,clubs,5,clubs,5,1
5420,3,clubs,13,diamonds,6,diamonds,9,hearts,13,hearts,10,hearts,9,diamonds,2,-1
5421,6,hearts,9,clubs,6,diamonds,9,hearts,13,hearts,10,hearts,9,diamonds,6,1
5422,3,clubs,11,spades,3,hearts,1,spades,2,diamonds,5,clubs,12,diamonds,1,1
